Index,Latitude (deg),Longitude (deg)
0,40.045029,-75.402646
1,39.946315,-75.147466
2,40.054326,-74.9842
3,39.945217,-75.161773
4,39.949503,-75.17188
5,39.951941,-75.142837
6,40.052322,-74.979587
7,40.144481,-74.93349
8,39.952081,-75.15694
9,40.113207,-75.106836
10,39.949071,-75.205901
11,40.146346,-74.995152
12,39.956377,-75.17059
13,39.942614,-75.184379
14,39.961703,-75.146838
15,39.932084,-75.204442
16,40.108322,-75.159303
17,39.951353,-75.166783
18,39.962287,-75.209591
19,40.021313,-75.213304
20,39.974954,-75.132408
21,39.958636,-75.202054
22,40.060238,-75.096247
23,40.088862,-75.435262
24,39.957941,-75.170082
25,39.952007,-75.192554
26,40.059023,-74.982655
27,39.942737,-75.152621
28,39.892057,-75.165415
29,39.944082,-75.141678
