Index,Latitude (deg),Longitude (deg)
0,33.665568,-84.41107
1,33.76494,-84.371819
2,33.770889,-84.358622
3,34.233391,-84.103278
4,33.921088,-84.337342
5,34.087634,-84.530646
6,33.683084,-84.442307
7,33.968483,-84.204487
8,33.809946,-84.438909
9,34.070898,-84.277636
10,33.903368,-84.376924
11,33.836703,-84.481173
12,33.792891,-84.396721
13,33.975761,-84.265625
14,34.00283,-84.146049
15,34.091985,-84.275997
16,33.78851,-84.36926
17,33.87213,-84.26165
18,34.003208,-84.040883
19,33.936017,-84.388948
