Index,Latitude (deg),Longitude (deg)
1,42.347356,-71.124287
2,42.363649,-71.128406
3,42.389788,-71.253526
4,42.416146,-71.103585
5,42.382133,-71.030173
6,42.323857,-71.11492
7,42.351075,-71.105747
8,42.338879,-71.146474
9,42.284707,-71.142096
10,42.353057,-71.128256
11,42.349775,-71.132677
12,42.343725,-71.027008
13,42.363627,-71.086223
14,42.360003,-71.257324
15,42.350489,-71.169991
16,42.385303,-71.181965
17,42.356554,-71.215074
18,42.370308,-71.113461
19,42.395606,-71.120381
20,42.374335,-71.056395
21,42.3537,-71.122548
22,42.402957,-71.083989
23,42.346556,-71.075749
24,42.439991,-71.056738
25,42.349462,-71.064591
26,42.352962,-71.043541
27,42.378087,-71.12338
28,42.361969,-71.08003
29,42.344845,-71.083721
30,42.357212,-71.058433
31,42.356181,-71.068668
32,42.38039,-71.032963
33,42.343971,-71.030967
34,42.319891,-71.058776
35,42.354929,-71.134329
36,42.340719,-71.100104
37,42.356923,-71.057537
38,42.345219,-71.083077
39,42.351361,-71.060965
40,42.38817,-71.109027
