Index,Latitude (deg),Longitude (deg)
1,39.751677,-104.995788
2,39.739022,-104.988876
3,39.736531,-104.988399
4,39.744154,-104.98707
5,39.743449,-104.990847
6,39.739844,-104.987188
7,39.739242,-104.990967
8,39.741687,-104.987615
9,39.741345,-104.993297
10,39.750494,-104.996915
11,39.740306,-104.99035
12,39.736585,-104.988015
13,39.747372,-104.99323
14,39.745626,-104.999178
15,39.738883,-104.986717
16,39.739894,-104.990079
17,39.739245,-104.992311
18,39.747211,-104.99205
19,39.743917,-104.990533
20,39.739225,-104.997189
21,39.74417,-104.993015
22,39.742645,-104.990249
23,39.737338,-104.9876
24,39.744361,-104.99027
25,39.738251,-104.986494
26,39.743818,-104.997808
27,39.73944,-104.990526
28,39.740961,-104.988087
29,39.749547,-104.997578
30,39.739691,-104.988527
31,39.744417,-104.989991
32,39.741278,-104.991607
33,39.739812,-104.990485
34,39.735426,-104.989131
35,39.740346,-104.98885
36,39.743569,-104.997048
37,39.748126,-104.992201
38,39.739682,-104.989543
39,39.743056,-104.984444
40,39.740601,-104.990865
41,39.741908,-104.983354
42,39.738242,-104.987069
43,39.737117,-104.988864
44,39.742258,-104.989914
45,39.74619,-104.996244
46,39.745592,-104.995537
47,39.736488,-104.990083
48,39.744598,-104.990951
49,39.734539,-104.989269
50,39.745114,-104.987028
51,39.738296,-104.990428
52,39.744453,-104.983185
53,39.742764,-104.987728
54,39.745166,-104.99495
55,39.737589,-104.987666
56,39.738666,-104.991384
57,39.736449,-104.988661
58,39.74059,-104.992391
59,39.742484,-104.988377
60,39.736626,-104.989638
61,39.739784,-104.986986
62,39.745236,-104.99809
63,39.743102,-104.985186
64,39.749119,-104.996117
65,39.746115,-104.98823
66,39.742885,-104.996431
67,39.742203,-105.001552
68,39.742525,-104.989043
69,39.738583,-104.9863
70,39.744973,-104.998428
71,39.743403,-104.994988
72,39.737736,-104.98997
73,39.748107,-104.99568
74,39.74057,-104.991755
75,39.74083,-104.99003
76,39.743036,-104.999253
77,39.740341,-104.993107
78,39.739325,-104.984807
79,39.74027,-104.987691
80,39.745326,-104.997411
81,39.737113,-104.989807
82,39.741321,-104.990597
83,39.741557,-104.98703
