Index,Latitude (deg),Longitude (deg)
0,37.789833,-122.434048
1,37.722045,-122.414473
2,37.722448,-122.395758
3,37.78141,-122.45725
4,37.715506,-122.392214
5,37.789418,-122.389319
6,37.77987,-122.464746
7,37.746968,-122.388266
8,37.807413,-122.430445
9,37.794574,-122.399945
10,37.734723,-122.475213
11,37.769019,-122.512643
12,37.782959,-122.418058
13,37.76598,-122.466461
14,37.748297,-122.438651
15,37.744929,-122.440444
16,37.769464,-122.510096
17,37.795547,-122.393418
18,37.758424,-122.509028
19,37.810684,-122.411521
20,37.808139,-122.409614
21,37.76904,-122.483519
22,37.735867,-122.477152
23,37.751067,-122.497319
24,37.784884,-122.50751
25,37.770404,-122.51061
26,37.719309,-122.419374
27,37.724405,-122.47602
28,37.775064,-122.51119
29,37.801848,-122.40557
30,37.788995,-122.410927
31,37.791526,-122.420917
32,37.806817,-122.431839
33,37.720667,-122.495546
34,37.742923,-122.413391
35,37.765053,-122.419715
36,37.785413,-122.429383
37,37.767436,-122.428931
38,37.769218,-122.469827
39,37.774035,-122.512499
40,37.79828,-122.377818
41,37.743647,-122.411674
42,37.753502,-122.493623
43,37.768123,-122.403369
44,37.772292,-122.448316
45,37.714296,-122.471748
46,37.807286,-122.444939
47,37.784519,-122.432982
48,37.784838,-122.40267
49,37.759832,-122.425901
50,37.780491,-122.513714
51,37.751741,-122.485851
52,37.759122,-122.389538
53,37.738263,-122.483873
54,37.770195,-122.403859
55,37.792905,-122.397059
56,37.806624,-122.439114
57,37.743714,-122.439954
58,37.745393,-122.507465
59,37.791835,-122.413343
60,37.743807,-122.438162
61,37.787994,-122.407437
62,37.781553,-122.415643
63,37.709986,-122.398056
64,37.748362,-122.482514
65,37.785679,-122.459184
66,37.734867,-122.440071
67,37.774929,-122.419415
68,37.791443,-122.389913
69,37.791615,-122.427613
70,37.722672,-122.494838
71,37.770287,-122.410873
72,37.782125,-122.482744
73,37.788516,-122.4268
74,37.790761,-122.390156
75,37.765791,-122.431511
76,37.802252,-122.39813
77,37.78212,-122.507826
78,37.775091,-122.511194
79,37.775874,-122.424339
80,37.769918,-122.457887
81,37.743215,-122.440708
82,37.750238,-122.433703
83,37.768869,-122.477471
84,37.73834,-122.373244
85,37.766948,-122.456001
86,37.77128,-122.437131
87,37.759773,-122.427063
88,37.740435,-122.381852
89,37.738049,-122.504368
90,37.760493,-122.400869
91,37.768819,-122.475127
92,37.784469,-122.407986
93,37.771333,-122.510917
94,37.819929,-122.478255
95,37.802395,-122.405822
96,37.743647,-122.411674
97,37.736504,-122.483238
98,37.773085,-122.422045
